step,loss,lr
439,1.390444,0.00262786
440,1.033190,0.00262577
441,0.934796,0.00262368
442,1.029918,0.00262158
443,0.918510,0.00261947
444,1.549896,0.00261736
445,1.183194,0.00261524
446,0.881736,0.00261312
447,1.210205,0.002611
448,0.854021,0.00260887
449,1.401634,0.00260673
450,1.008952,0.00260459
451,0.901870,0.00260245
452,1.159132,0.0026003
453,1.235711,0.00259815
454,0.717409,0.00259599
455,1.374073,0.00259382
456,1.106175,0.00259166
457,1.185535,0.00258948
458,1.108101,0.0025873
459,1.214223,0.00258512
460,0.718501,0.00258293
461,1.585727,0.00258074
462,0.853255,0.00257855
463,0.918326,0.00257634
464,1.169891,0.00257414
465,0.991327,0.00257193
466,1.004046,0.00256971
467,1.078641,0.00256749
468,1.138342,0.00256527
469,1.028132,0.00256304
470,0.799102,0.00256081
471,0.965170,0.00255857
472,0.780449,0.00255632
473,1.415408,0.00255408
474,1.121258,0.00255182
475,0.877772,0.00254957
476,1.097201,0.00254731
477,0.975698,0.00254504
478,0.816785,0.00254277
479,1.329578,0.0025405
480,1.061167,0.00253822
481,1.109800,0.00253593
482,0.905621,0.00253365
483,0.945943,0.00253135
484,1.037645,0.00252906
485,0.986084,0.00252675
486,1.349796,0.00252445
487,0.921318,0.00252214
488,0.796805,0.00251982
489,1.185229,0.00251751
490,1.163049,0.00251518
491,1.330078,0.00251285
492,0.884651,0.00251052
493,0.653223,0.00250819
494,0.785766,0.00250585
495,0.898727,0.0025035
496,1.300943,0.00250115
497,0.888129,0.0024988
498,0.931756,0.00249644
499,1.098240,0.00249408
500,0.867246,0.00249171
501,0.960264,0.00248934
502,1.127284,0.00248697
503,0.806169,0.00248459
504,1.418999,0.0024822
505,1.183648,0.00247982
506,0.870955,0.00247742
507,0.960719,0.00247503
508,1.069466,0.00247263
509,0.757743,0.00247022
510,1.005842,0.00246782
511,1.281257,0.0024654
512,1.397011,0.00246299
513,0.826121,0.00246057
514,0.887417,0.00245814
515,0.929628,0.00245571
516,0.805852,0.00245328
517,0.760281,0.00245084
518,0.895957,0.0024484
519,0.909589,0.00244596
520,0.773068,0.00244351
521,0.902392,0.00244106
522,1.036182,0.0024386
523,0.743540,0.00243614
524,0.861659,0.00243367
525,0.921426,0.00243121
526,0.924060,0.00242873
527,0.753618,0.00242626
528,0.964724,0.00242378
529,1.400019,0.00242129
530,0.941748,0.0024188
531,1.148863,0.00241631
532,1.089611,0.00241382
533,1.108116,0.00241132
534,0.901290,0.00240881
535,0.865493,0.00240631
536,0.763597,0.00240379
537,1.207838,0.00240128
538,1.010924,0.00239876
539,1.147476,0.00239624
540,0.821170,0.00239371
541,0.624252,0.00239118
542,0.821959,0.00238865
543,1.153522,0.00238611
544,0.899140,0.00238357
545,1.090540,0.00238102
546,1.035825,0.00237847
547,0.797973,0.00237592
548,0.973687,0.00237337
549,1.347936,0.00237081
550,1.185632,0.00236824
551,0.808272,0.00236568
552,0.828022,0.00236311
553,1.245988,0.00236053
554,0.927591,0.00235795
555,1.373279,0.00235537
556,0.706439,0.00235279
557,1.034704,0.0023502
558,1.179839,0.00234761
559,0.849845,0.00234501
560,0.822919,0.00234241
561,1.013798,0.00233981
562,1.017598,0.00233721
563,1.205436,0.0023346
564,0.765079,0.00233198
565,0.636499,0.00232937
566,0.811509,0.00232675
567,1.193260,0.00232413
568,0.823276,0.0023215
569,0.718185,0.00231887
570,0.863910,0.00231624
571,0.775725,0.0023136
572,0.525287,0.00231096
573,0.976942,0.00230832
574,0.689725,0.00230567
575,1.135141,0.00230302
576,0.817919,0.00230037
577,0.901127,0.00229771
578,0.814085,0.00229505
579,0.638025,0.00229239
580,0.744777,0.00228972
581,0.978118,0.00228705
582,0.741956,0.00228438
583,0.788321,0.00228171
584,1.031873,0.00227903
585,1.109090,0.00227634
586,1.297654,0.00227366
587,1.042606,0.00227097
588,0.789326,0.00226828
589,0.596423,0.00226558
590,1.055032,0.00226289
591,1.085249,0.00226019
592,0.870770,0.00225748
593,0.632461,0.00225478
594,0.839629,0.00225207
595,1.056055,0.00224935
596,0.954218,0.00224664
597,0.693840,0.00224392
598,0.790514,0.0022412
599,0.887390,0.00223847
600,0.821472,0.00223574
601,0.629841,0.00223301
602,1.197571,0.00223028
603,0.786146,0.00222754
604,0.836161,0.0022248
605,0.780320,0.00222206
606,0.945963,0.00221931
607,0.965942,0.00221657
608,0.873606,0.00221381
609,1.188192,0.00221106
610,0.795302,0.0022083
611,0.885837,0.00220554
612,0.889077,0.00220278
613,0.818104,0.00220002
614,0.970019,0.00219725
615,0.689709,0.00219448
616,0.798302,0.0021917
617,1.202328,0.00218893
618,0.784148,0.00218615
619,1.046976,0.00218337
620,0.762046,0.00218058
621,0.525533,0.0021778
622,0.804980,0.00217501
623,0.612152,0.00217222
624,0.979839,0.00216942
625,0.852579,0.00216662
626,0.838611,0.00216382
627,0.739966,0.00216102
628,0.567880,0.00215821
629,0.705198,0.00215541
630,0.864929,0.0021526
631,0.702064,0.00214978
632,0.871953,0.00214697
633,0.903726,0.00214415
634,0.577312,0.00214133
635,0.802634,0.00213851
636,0.966096,0.00213568
637,0.682825,0.00213285
638,1.090207,0.00213002
639,0.921037,0.00212719
640,0.717798,0.00212436
641,0.821586,0.00212152
642,0.535772,0.00211868
643,0.712777,0.00211584
644,0.738126,0.00211299
645,0.953310,0.00211015
646,0.797872,0.0021073
647,0.822294,0.00210444
648,0.840266,0.00210159
649,0.853885,0.00209874
650,0.721557,0.00209588
651,0.547200,0.00209302
652,0.847368,0.00209015
653,0.781805,0.00208729
654,0.679279,0.00208442
655,0.821373,0.00208155
656,0.523121,0.00207868
657,1.013549,0.00207581
658,0.870261,0.00207293
659,0.685260,0.00207005
660,1.103516,0.00206717
661,0.729294,0.00206429
662,0.847787,0.00206141
663,0.608566,0.00205852
664,0.792523,0.00205563
665,0.788745,0.00205274
666,1.167734,0.00204985
667,0.867690,0.00204695
668,0.978399,0.00204406
669,0.505235,0.00204116
670,0.899422,0.00203826
671,0.789298,0.00203536
672,0.736916,0.00203245
673,0.761891,0.00202955
674,0.688129,0.00202664
675,0.869345,0.00202373
676,0.785192,0.00202082
677,0.590255,0.0020179
678,0.634785,0.00201499
679,0.925403,0.00201207
680,0.648617,0.00200915
681,0.913383,0.00200623
682,0.641029,0.00200331
683,0.998319,0.00200038
684,0.664735,0.00199745
685,0.761497,0.00199453
686,1.170753,0.0019916
687,1.086837,0.00198866
688,0.702041,0.00198573
689,1.028786,0.0019828
690,0.639622,0.00197986
691,0.810313,0.00197692
692,0.660056,0.00197398
693,0.679341,0.00197104
694,0.810905,0.0019681
695,0.716926,0.00196515
696,0.711875,0.0019622
697,0.445645,0.00195926
698,0.865142,0.00195631
699,0.707301,0.00195336
700,0.651364,0.0019504
701,0.815442,0.00194745
702,0.740039,0.00194449
703,0.710195,0.00194154
704,0.808569,0.00193858
705,0.615630,0.00193562
706,0.766307,0.00193266
707,0.676835,0.00192969
708,0.799170,0.00192673
709,0.656287,0.00192376
710,0.640033,0.0019208
711,0.457292,0.00191783
712,0.765780,0.00191486
713,0.737337,0.00191189
714,0.984675,0.00190891
715,0.609301,0.00190594
716,0.586234,0.00190296
717,0.864964,0.00189999
718,0.560815,0.00189701
719,0.716982,0.00189403
720,0.663648,0.00189105
721,0.575722,0.00188807
722,0.855094,0.00188509
723,0.670718,0.0018821
724,0.688597,0.00187912
725,0.957073,0.00187613
726,0.618820,0.00187315
727,0.680480,0.00187016
728,0.827093,0.00186717
729,0.796350,0.00186418
730,1.016714,0.00186119
731,0.697218,0.00185819
732,1.055512,0.0018552
733,0.712658,0.00185221
734,0.775309,0.00184921
735,0.552924,0.00184621
736,0.937703,0.00184322
737,0.631534,0.00184022
738,0.856875,0.00183722
739,0.675125,0.00183422
740,0.687241,0.00183121
741,0.751953,0.00182821
742,0.817999,0.00182521
743,0.647281,0.0018222
744,0.652856,0.0018192
745,0.617802,0.00181619
746,0.798333,0.00181319
747,0.722897,0.00181018
748,0.861878,0.00180717
749,0.750943,0.00180416
750,0.580080,0.00180115
751,0.583224,0.00179814
752,0.819953,0.00179513
753,0.715140,0.00179212
754,0.528879,0.0017891
755,0.830350,0.00178609
756,0.659733,0.00178308
757,0.947875,0.00178006
758,0.761927,0.00177705
759,0.554560,0.00177403
760,0.633428,0.00177101
761,0.676599,0.001768
762,0.738975,0.00176498
763,0.726911,0.00176196
764,0.623347,0.00175894
765,0.703388,0.00175592
766,0.995673,0.0017529
767,0.583154,0.00174988
768,0.552623,0.00174686
769,0.687558,0.00174384
770,0.718455,0.00174081
771,0.704208,0.00173779
772,0.702072,0.00173477
773,0.575912,0.00173174
774,0.645055,0.00172872
775,0.726335,0.0017257
776,0.583034,0.00172267
777,0.580669,0.00171965
778,0.481287,0.00171662
779,1.162024,0.00171359
780,0.671350,0.00171057
781,0.983827,0.00170754
782,0.572759,0.00170451
783,0.701177,0.00170149
784,0.463695,0.00169846
785,0.497032,0.00169543
786,0.568508,0.0016924
787,0.470305,0.00168938
788,0.524636,0.00168635
789,0.541467,0.00168332
790,0.529452,0.00168029
791,0.671389,0.00167726
792,0.607735,0.00167423
793,0.704039,0.0016712
794,0.606889,0.00166818
795,0.635905,0.00166515
796,0.604197,0.00166212
797,0.803817,0.00165909
798,0.562297,0.00165606
799,0.780606,0.00165303
800,0.523854,0.00165
801,0.576480,0.00164697
802,0.576726,0.00164394
803,0.627340,0.00164091
804,0.452136,0.00163788
805,0.641073,0.00163485
806,0.770189,0.00163182
807,1.043971,0.0016288
808,0.612117,0.00162577
809,0.516649,0.00162274
810,0.499551,0.00161971
811,0.569300,0.00161668
812,0.541695,0.00161365
813,0.720198,0.00161062
814,0.665725,0.0016076
815,0.489286,0.00160457
816,0.537400,0.00160154
817,0.602471,0.00159851
818,0.713841,0.00159549
819,0.538707,0.00159246
820,0.650905,0.00158943
821,0.697852,0.00158641
822,0.538075,0.00158338
823,0.791127,0.00158035
824,0.652316,0.00157733
825,0.540394,0.0015743
826,0.756062,0.00157128
827,0.607755,0.00156826
828,0.455772,0.00156523
829,0.563827,0.00156221
830,1.056185,0.00155919
831,0.543793,0.00155616
832,0.556302,0.00155314
833,0.573882,0.00155012
834,0.511921,0.0015471
835,0.608477,0.00154408
836,0.792352,0.00154106
837,0.679551,0.00153804
838,0.521246,0.00153502
839,0.601349,0.001532
840,0.576951,0.00152899
841,0.548526,0.00152597
842,0.467754,0.00152295
843,0.462511,0.00151994
844,0.693430,0.00151692
845,0.648601,0.00151391
846,0.576144,0.0015109
847,0.512954,0.00150788
848,0.696965,0.00150487
849,0.620297,0.00150186
850,0.537942,0.00149885
851,0.683454,0.00149584
852,0.654649,0.00149283
853,0.505274,0.00148982
854,0.751459,0.00148681
855,0.572282,0.00148381
856,0.661464,0.0014808
857,0.507144,0.0014778
858,0.480262,0.00147479
859,0.554863,0.00147179
860,0.685531,0.00146879
861,0.524718,0.00146578
862,0.615387,0.00146278
863,0.507330,0.00145978
864,0.764865,0.00145678
865,0.571444,0.00145379
866,0.646978,0.00145079
867,0.675423,0.00144779
868,0.646192,0.0014448
869,0.691727,0.00144181
870,0.378264,0.00143881
871,0.647655,0.00143582
872,0.542450,0.00143283
873,0.665322,0.00142984
874,0.607957,0.00142685
875,0.753660,0.00142387
876,0.609211,0.00142088
877,0.482704,0.0014179
878,0.473860,0.00141491
879,0.517396,0.00141193
880,0.552852,0.00140895
881,0.582003,0.00140597
882,0.712732,0.00140299
883,0.641075,0.00140001
884,0.415942,0.00139704
885,0.541652,0.00139406
886,0.561533,0.00139109
887,0.381246,0.00138811
888,0.486132,0.00138514
889,0.482235,0.00138217
890,0.591422,0.0013792
891,0.440655,0.00137624
892,0.567613,0.00137327
893,0.398907,0.00137031
894,0.602077,0.00136734
895,0.762239,0.00136438
896,0.630206,0.00136142
897,0.532814,0.00135846
898,0.572168,0.00135551
899,0.699585,0.00135255
900,0.664191,0.0013496
901,0.449872,0.00134664
902,0.557095,0.00134369
